Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
13/04/2024,Mainz,Hoffenheim,H,1.95,4,3.4,1.95,3.9,3.4
13/04/2024,M'gladbach,Dortmund,A,3.25,4,2,3.2,4,2
13/04/2024,RB Leipzig,Wolfsburg,H,1.36,5,8,1.35,5.5,7.5
13/04/2024,Stuttgart,Ein Frankfurt,H,1.53,4.5,5.5,1.5,4.6,5.8
14/04/2024,Darmstadt,Freiburg,A,4,3.8,1.83,3.9,3.9,1.83
14/04/2024,Leverkusen,Werder Bremen,H,1.2,7,13,1.18,7.5,13
19/04/2024,Ein Frankfurt,Augsburg,H,2,3.75,3.5,2,3.75,3.4
20/04/2024,FC Koln,Darmstadt,A,1.5,4.75,5.75,1.5,4.5,6
20/04/2024,Heidenheim,RB Leipzig,A,5.75,5.25,1.45,6,5,1.44
20/04/2024,Hoffenheim,M'gladbach,H,2.1,4,3.1,2.05,4,3.1
20/04/2024,Wolfsburg,Bochum,H,1.75,4,4.33,1.75,4,4.2
20/04/2024,Union Berlin,Bayern Munich,A,4.75,4.5,1.62,5,4.4,1.57
21/04/2024,Werder Bremen,Stuttgart,H,4.75,4.75,1.57,5,4.4,1.57
21/04/2024,Dortmund,Leverkusen,D,2.55,3.8,2.55,2.5,3.8,2.5
21/04/2024,Freiburg,Mainz,D,2.6,3.5,2.6,2.6,3.7,2.5
05/08/2022,Ein Frankfurt,Bayern Munich,A,6,5,1.5,5.8,4.6,1.5
06/08/2022,Augsburg,Freiburg,A,3.3,3.5,2.15,3.3,3.4,2.15
06/08/2022,Bochum,Mainz,A,3.2,3.4,2.2,3.25,3.3,2.25
06/08/2022,M'gladbach,Hoffenheim,H,2.05,4.2,3,2.1,3.8,3.1
06/08/2022,Union Berlin,Hertha,H,1.72,3.75,4.5,1.75,3.6,4.75
06/08/2022,Wolfsburg,Werder Bremen,D,1.85,3.8,3.8,1.85,3.7,4
06/08/2022,Dortmund,Leverkusen,H,2,4.2,3.2,2.05,3.9,3.2
07/08/2022,Stuttgart,RB Leipzig,D,4.5,3.8,1.75,4.5,3.75,1.75
07/08/2022,FC Koln,Schalke 04,H,1.7,4,4.5,1.7,3.9,4.6
12/08/2022,Freiburg,Dortmund,A,3,3.75,2.2,3,3.6,2.25
13/08/2022,Hertha,Ein Frankfurt,D,3,3.5,2.3,3,3.5,2.3
13/08/2022,Hoffenheim,Bochum,H,1.57,4.5,5.25,1.57,4.33,5.25
13/08/2022,Leverkusen,Augsburg,A,1.3,5.75,9.5,1.32,5.25,9
13/08/2022,RB Leipzig,FC Koln,D,1.44,4.75,7,1.42,4.6,7
13/08/2022,Werder Bremen,Stuttgart,D,2.25,3.6,3,2.35,3.5,2.9
13/08/2022,Schalke 04,M'gladbach,D,3.1,3.8,2.15,3.1,3.6,2.2
14/08/2022,Mainz,Union Berlin,D,2.2,3.25,3.4,2.25,3.1,3.4
14/08/2022,Bayern Munich,Wolfsburg,H,1.12,9.5,17,1.14,8.5,17
19/08/2022,M'gladbach,Hertha,H,1.5,4.5,6,1.5,4.5,5.8
20/08/2022,Augsburg,Mainz,A,3.5,3.5,2.1,3.4,3.4,2.1
20/08/2022,Dortmund,Werder Bremen,A,1.36,5.25,7.5,1.36,5.25,7.5
20/08/2022,Leverkusen,Hoffenheim,A,1.66,4.33,4.5,1.67,4.2,4.5
20/08/2022,Stuttgart,Freiburg,A,2.62,3.6,2.55,2.55,3.5,2.6
20/08/2022,Wolfsburg,Schalke 04,D,1.83,3.8,4.2,1.83,3.8,4
20/08/2022,Union Berlin,RB Leipzig,H,3.6,3.5,2.05,3.5,3.4,2.1
21/08/2022,Ein Frankfurt,FC Koln,D,1.95,3.75,3.6,2.05,3.6,3.4
21/08/2022,Bochum,Bayern Munich,A,13,8,1.18,15,7.5,1.17
26/08/2022,Freiburg,Bochum,H,1.5,4.5,6,1.47,4.4,6.5
27/08/2022,Hertha,Dortmund,A,4.5,4.33,1.66,4.5,4.2,1.67
27/08/2022,Hoffenheim,Augsburg,H,1.45,4.5,7,1.44,4.6,6.5
27/08/2022,Mainz,Leverkusen,A,2.75,3.75,2.37,2.7,3.6,2.4
27/08/2022,RB Leipzig,Wolfsburg,H,1.45,4.75,6,1.47,4.4,6.5
27/08/2022,Schalke 04,Union Berlin,A,3.1,3.4,2.3,3,3.4,2.3
27/08/2022,Bayern Munich,M'gladbach,D,1.18,8,12,1.18,7.5,12
28/08/2022,FC Koln,Stuttgart,D,2.05,3.75,3.4,2.1,3.6,3.3
