Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
04/02/2024,Real Madrid,Ath Madrid,D,1.73,4,4.5,1.67,4,4.4
05/02/2024,Vallecano,Sevilla,A,2.15,3.3,3.5,2.1,3.4,3.25
09/02/2024,Cadiz,Betis,A,3,3,2.6,3,2.9,2.5
10/02/2024,Alaves,Villarreal,D,2.2,3.4,3.3,2.1,3.5,3.2
10/02/2024,Sociedad,Osasuna,A,1.85,3.2,5,1.8,3.25,4.75
10/02/2024,Real Madrid,Girona,H,1.45,5,6,1.4,4.8,6.5
10/02/2024,Las Palmas,Valencia,H,2.75,3,2.9,2.6,3.1,2.7
11/02/2024,Getafe,Celta,H,2.2,3.1,3.6,2.2,3.1,3.4
11/02/2024,Mallorca,Vallecano,H,2.3,3,3.4,2.25,3,3.4
11/02/2024,Sevilla,Ath Madrid,H,3.5,3.5,2.05,3.3,3.5,2.05
11/02/2024,Barcelona,Granada,D,1.22,7.5,10,1.18,7,12
12/02/2024,Almeria,Ath Bilbao,D,4.33,4,1.73,4.4,3.9,1.7
16/02/2024,Villarreal,Getafe,D,1.95,3.5,3.8,1.91,3.6,3.6
17/02/2024,Ath Madrid,Las Palmas,H,1.5,4.75,6.5,1.4,4.6,7
17/02/2024,Osasuna,Cadiz,H,1.75,3.3,5.5,1.7,3.5,5
17/02/2024,Celta,Barcelona,A,3.8,3.8,1.85,3.7,3.8,1.83
17/02/2024,Valencia,Sevilla,D,2.25,3.3,3.3,2.15,3.3,3.25
18/02/2024,Vallecano,Real Madrid,D,6,3.75,1.62,5.5,4,1.57
18/02/2024,Granada,Almeria,D,2.1,3.5,3.4,2,3.5,3.4
18/02/2024,Mallorca,Sociedad,A,3.4,2.8,2.5,3.2,2.88,2.45
18/02/2024,Betis,Alaves,D,2.1,3.3,3.75,1.95,3.4,3.7
19/02/2024,Ath Bilbao,Girona,H,1.91,3.6,4,1.95,3.7,3.4
23/02/2024,Sociedad,Villarreal,A,1.73,3.6,5,1.67,3.7,4.8
24/02/2024,Barcelona,Getafe,H,1.4,5,7,1.36,4.8,7.5
24/02/2024,Alaves,Mallorca,D,1.91,3,5,1.85,3.1,4.75
24/02/2024,Almeria,Ath Madrid,D,4.75,4,1.7,4.33,3.8,1.73
25/02/2024,Cadiz,Celta,D,3.1,3,2.5,2.9,3,2.5
25/02/2024,Betis,Ath Bilbao,H,3.6,3.1,2.2,3.4,3.25,2.1
25/02/2024,Las Palmas,Osasuna,D,2.38,2.9,3.5,2.3,3.1,3.2
25/02/2024,Real Madrid,Sevilla,H,1.29,6,9,1.25,5.8,9.5
26/02/2024,Girona,Vallecano,H,1.65,4.2,4.75,1.6,4,5
01/03/2024,Celta,Almeria,H,1.85,3.6,4.2,1.75,3.75,4.5
02/03/2024,Sevilla,Sociedad,H,2.6,3,3,2.45,3.1,3
02/03/2024,Vallecano,Cadiz,D,1.8,3.3,5.25,1.8,3.4,5
02/03/2024,Getafe,Las Palmas,D,2,3.1,4.33,2,3.25,4
02/03/2024,Valencia,Real Madrid,D,5.25,3.8,1.67,5.5,4,1.6
03/03/2024,Villarreal,Granada,H,1.65,4,5,1.65,4.2,4.8
03/03/2024,Ath Madrid,Betis,H,1.57,4.2,5.75,1.53,4.33,5.5
03/03/2024,Mallorca,Girona,H,3.25,3.2,2.3,3.1,3.3,2.3
03/03/2024,Ath Bilbao,Barcelona,D,2.88,3.5,2.4,2.75,3.6,2.38
04/03/2024,Osasuna,Alaves,H,2.38,3.1,3.25,2.3,3.2,3.2
08/03/2024,Barcelona,Mallorca,H,1.44,4.75,6.5,1.44,4.4,7
09/03/2024,Valencia,Getafe,H,2,3.2,4.2,1.95,3.25,4.2
09/03/2024,Cadiz,Ath Madrid,H,4.75,3.6,1.73,4.8,3.75,1.7
09/03/2024,Granada,Sociedad,A,4.5,3.3,1.85,4.2,3.5,1.85
09/03/2024,Girona,Osasuna,H,1.62,4.2,5.25,1.57,4.2,5.5
10/03/2024,Alaves,Vallecano,H,2.15,3.1,3.75,2.1,3.2,3.7
10/03/2024,Las Palmas,Ath Bilbao,A,4,3.3,2,3.8,3.4,2
10/03/2024,Real Madrid,Celta,H,1.3,6,8,1.29,5.8,9.5
10/03/2024,Betis,Villarreal,A,2.05,3.5,3.4,2,3.7,3.4
11/03/2024,Almeria,Sevilla,D,3.1,3.3,2.38,3,3.3,2.38
15/03/2024,Sociedad,Cadiz,H,1.5,4,8.5,1.44,3.9,8.5
16/03/2024,Mallorca,Granada,H,1.83,3.3,5,1.8,3.4,4.75
16/03/2024,Osasuna,Real Madrid,A,5.75,4.2,1.55,6,4.2,1.53
16/03/2024,Getafe,Girona,H,3.1,3.5,2.25,3.1,3.4,2.25
16/03/2024,Ath Bilbao,Alaves,H,1.55,3.75,7,1.53,3.9,6.5
17/03/2024,Sevilla,Celta,A,2,3.4,3.75,1.95,3.4,3.9
17/03/2024,Las Palmas,Almeria,A,1.95,3.5,4,1.85,3.5,4.2
